dateTime,caloriesOut,max,min,minutes,name,restingHeartRate
2022-01-01,3070.12342,115,30,1434,Out of Range,59
2022-01-01,46.50191,143,115,6,Fat Burn,59
2022-01-01,0,178,143,0,Cardio,59
2022-01-01,0,220,178,0,Peak,59
2022-01-02,4122.836899999999,115,30,1439,Out of Range,59
2022-01-02,1.87005,143,115,1,Fat Burn,59
2022-01-02,0,178,143,0,Cardio,59
2022-01-02,0,220,178,0,Peak,59
2022-01-03,3273.3355199999996,115,30,1435,Out of Range,60
2022-01-03,36.1543,143,115,5,Fat Burn,60
2022-01-03,0,178,143,0,Cardio,60
2022-01-03,0,220,178,0,Peak,60
2022-01-04,3522.6755200000002,115,30,1416,Out of Range,60
2022-01-04,158.20623,143,115,18,Fat Burn,60
2022-01-04,68.06981999999999,178,143,6,Cardio,60
2022-01-04,0,220,178,0,Peak,60
2022-01-05,3184.19647,115,30,1438,Out of Range,60
2022-01-05,12.467,143,115,2,Fat Burn,60
2022-01-05,0,178,143,0,Cardio,60
2022-01-05,0,220,178,0,Peak,60
2022-01-06,3592.24138,115,30,1424,Out of Range,59
2022-01-06,89.01438,143,115,9,Fat Burn,59
2022-01-06,80.91082999999999,178,143,7,Cardio,59
2022-01-06,0,220,178,0,Peak,59
2022-01-07,3721.5241699999997,115,30,1439,Out of Range,59
2022-01-07,5.36081,143,115,1,Fat Burn,59
2022-01-07,0,178,143,0,Cardio,59
2022-01-07,0,220,178,0,Peak,59
2022-01-08,3729.25371,114,30,1440,Out of Range,58
2022-01-08,0,142,114,0,Fat Burn,58
2022-01-08,0,177,142,0,Cardio,58
2022-01-08,0,220,177,0,Peak,58
2022-01-09,3518.56141,115,30,1433,Out of Range,59
2022-01-09,62.833679999999994,143,115,7,Fat Burn,59
2022-01-09,0,178,143,0,Cardio,59
2022-01-09,0,220,178,0,Peak,59
2022-01-10,3375.68959,115,30,1430,Out of Range,59
2022-01-10,66.19977,143,115,10,Fat Burn,59
2022-01-10,0,178,143,0,Cardio,59
2022-01-10,0,220,178,0,Peak,59
2022-01-11,3218.1067099999996,115,30,1432,Out of Range,59
2022-01-11,62.08566,143,115,8,Fat Burn,59
2022-01-11,0,178,143,0,Cardio,59
2022-01-11,0,220,178,0,Peak,59
2022-01-12,2867.5346699999996,115,30,1432,Out of Range,59
2022-01-12,62.83368,143,115,8,Fat Burn,59
2022-01-12,0,178,143,0,Cardio,59
2022-01-12,0,220,178,0,Peak,59
2022-01-13,3407.10643,115,30,1418,Out of Range,59
2022-01-13,168.05516,143,115,20,Fat Burn,59
2022-01-13,20.69522,178,143,2,Cardio,59
2022-01-13,0,220,178,0,Peak,59
2022-01-14,3013.02456,115,30,1435,Out of Range,59
2022-01-14,39.52039,143,115,5,Fat Burn,59
